tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Coophavila II,,"300,00 m²","165,00 m²","R$300.000,00","Aceita permuta,Asfalto,Sala de TV,4 Quarto(s),2 Varanda(s),2 Wc social,4 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Edícula,Lavanderia,Piscina infantil",,
Casa-Térrea,Campo Grande - MS,Coophavila II,,"300,00 m²","167,00 m²","R$580.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Apto com a/e,1 Apto,1 Quarto,Área de serviço,Cerca elétrica,Copa,Cozinha planejada,Despensa,Lavabo,Lavanderia,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coophavila II,,"94,00 m²","47,00 m²","R$165.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de TV,2 Quarto(s),1 Wc social,1 Vaga de garagem,Área de serviço,Cozinha americana",,
Casa-Térrea,Campo Grande - MS,Coophavila II,,"300,00 m²","165,00 m²","R$260.000,00","Aceita permuta,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,4 Quarto(s),2 Varanda(s),2 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha",,
Casa-Térrea,Campo Grande - MS,Coophavilla,R. dos Arquipélagos,"300,00 m²","167,00 m²","R$580.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,WC adaptado,Sala de estar,Sala de jantar,Sala de TV,2 Suíte(s) com a/e,1 Quarto com a/e,1 Varanda,2 Wc social,3 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coophavilla,,"487,20 m²","212,00 m²","R$480.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Área de serviço,Árvores frutíferas,Copa,Cozinha,Cozinha planejada,Edícula,Jardim",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,Av. Coronel Antônino,"206,00 m²","85,00 m²","R$420.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Apto,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cozinha,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,Av. Coronel Antônio,"200,00 m²","95,00 m²","R$400.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Apto,1 Quarto,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha,Jardim,Lavanderia,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,Av. Mascarenhas de Moraes,,,"R$630.000,00","Sala de estar,Sala de jantar,2 Quarto(s)",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"Av. Norte, 1064","497,00 m²","130,73 m²","R$650.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,2 Apto(s),1 Quarto,1 Varanda,1 Wc social,4 Vaga(s) de garagem,Cerca elétrica,Copa,Cozinha americana,Jardim",,
