tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Estrela Park,"R. Manoel Alcova Filho, 619","267,00 m²","128,00 m²","R$480.000,00","Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),1 Varanda,2 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Estrela Park,Tv. João Sanches,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha,Interfone,Jardim,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Estrela Park,Tv. João Sanches,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s) com a/e,1 Varanda,1 Wc social,3 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Interfone,Jardim,Lavabo,Portão elétrico,Porteiro eletrônico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Estrela Park,Tv. João Sanches,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Água,Esgoto,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Alarme,Cerca elétrica,Churrasqueira,Cozinha americana,Interfone,Jardim,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Estrela Park,"Tv. João Sanches, 43","200,00 m²","105,00 m²","R$500.000,00","Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha americana",,
Casa-Térrea,Campo Grande - MS,Estrela Park,"Tv. João Sanches, 43","200,00 m²","105,00 m²","R$500.000,00","Aceita financiamento,Água,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Jardim,Lavabo,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Estrela Park,"Tv. João Sanches, 78","407,00 m²","31,56 m²","R$255.000,00","Aceita financiamento,Sala de TV,2 Quarto(s),1 Varanda,1 Wc social",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","110,00 m²","R$550.000,00","Aceita financiamento,Calçada,Muro,Sala de jantar,Sala de TV,1 Suíte com a/e,1 Suíte,1 Wc social,2 Vaga(s) de garagem,Academia,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Guarita,Interfone,Jardim,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Aceita permuta,Água,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha americana,Interfone,Jardim,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Água,Calçada,Muro,Rede elétrica,Sala de estar,1 Apto,2 Quarto(s),3 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","200,00 m²","R$380.000,00","Aceita permuta,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),2 Varanda(s),1 Wc social,Churrasqueira,Copa,Cozinha,Edícula,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Aceita permuta,Água,Muro,Rede elétrica,1 Suíte,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Interfone,Jardim",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Apto com a/e,2 Apto(s),Sacada,1 Varanda,1 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"225,00 m²","136,00 m²","R$700.000,00","Aceita financiamento,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","125,00 m²","R$700.000,00",,"R$ 280,00",
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,1 Suíte,2 Quarto(s) com a/e,3 Vaga(s) de garagem,Churrasqueira",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","180,00 m²","R$500.000,00","Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Sala de estar,Sala de jantar,1 Suíte com a/e,2 Quarto(s),1 Varanda,2 Vaga(s) de garagem,Alarme,Área de serviço,Churrasqueira,Hall de entrada,Jardim,Lavabo,Lavanderia,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Aceita financiamento,Água,Rede elétrica,Sala de TV,1 Suíte,2 Quarto(s),1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Jardim",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²",,"R$190.000,00","Água,Muro,Área de serviço,Churrasqueira,Piscina",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","125,00 m²","R$650.000,00","1 Suíte,2 Quarto(s),2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"200,00 m²","105,00 m²","R$550.000,00","Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,1 Vaga de garagem,Cerca elétrica,Churrasqueira,Cozinha americana,Interfone,Jardim,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","125,00 m²","R$650.000,00","Aceita financiamento,Asfalto,Sala de estar,Sala de TV,1 Apto,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Jardim,Lavabo",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","125,00 m²","R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha americana,Lavabo,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","125,00 m²","R$650.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha americana,Jardim,Porteiro eletrônico",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"268,00 m²","127,00 m²","R$480.000,00","Aceita financiamento,Água,Calçada,Rede elétrica,Sala de estar,Sala de TV,1 Suíte,2 Quarto(s),2 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Hall de entrada,Jardim",,
Casa-Térrea,Campo Grande - MS,Estrela Park,,"250,00 m²","125,00 m²","R$650.000,00","Aceita financiamento,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),2 Varanda(s),2 Wc social,4 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. Adoniran Barbosa,"360,00 m²","151,77 m²","R$600.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Sala de estar,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),2 Varanda(s),1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Depósito,Interfone,Jardim,Piscina aquecida,Portão elétrico","R$ 2.800,00",
Casa-Térrea,Campo Grande - MS,Flamboyant,R. Adoniran Barbosa,"360,00 m²",,"R$750.000,00",,,
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. Adoniran Barbosa, 185","360,00 m²","180,00 m²","R$750.000,00",,,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. da Nogueira,"360,00 m²","130,00 m²","R$550.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,1 Apto com a/e,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Área de lazer,Depósito,Edícula,Piscina",,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. da Nogueira,"360,00 m²","120,00 m²","R$620.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,1 Apto com a/e,2 Apto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Árvores frutíferas,Churrasqueira,Copa,Cozinha,Cozinha americana,Cozinha planejada,Deck,Despensa,Edícula,Escritório,Gazebo,Jardim,Lavabo,Lavanderia,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. da Nogueira, 161","360,00 m²","217,00 m²","R$485.000,00","Aceita financiamento,Aceita permuta,Água,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Apto com a/e,4 Quarto(s) com a/e,1 Varanda,1 Wc social,4 Vaga(s) de garagem","R$ 4.612,35",
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. da Nogueira, 409","360,00 m²","130,00 m²","R$620.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,1 Quarto com a/e,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Academia,Área de lazer,Área de serviço,Árvores frutíferas,Cerca elétrica,Churrasqueira,Closet,Cozinha,Cozinha planejada,Edícula,Escritório,Interfone,Jardim,Piscina,Portão elétrico,WC de serviço","R$ 2.350,00",
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. da Nogueira, 470","360,00 m²","153,13 m²","R$570.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Imóvel alugado com renda,Muro,Piso tátil,Rede elétrica,Sala de estar,1 Apto com a/e,1 Quarto com a/e,2 Quarto(s),2 Varanda(s),1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha planejada,Piscina,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. da Planície,"360,00 m²","183,69 m²","R$600.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Árvores frutíferas,Cerca elétrica,Churrasqueira,Cozinha americana,Cozinha planejada,Depósito,Despensa,Interfone,Jardim,Lavanderia,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. da Planície,"360,72 m²","105,00 m²","R$600.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s) com a/e,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Despensa,Jardim,Lavabo,Lavanderia,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. da Planície, 389","360,00 m²","240,00 m²","R$690.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rampa de acessibilidade,Rede elétrica,WC adaptado,Sala de estar,Sala de jantar,Sala de TV,2 Apto(s),2 Quarto(s),1 Varanda,Cerca elétrica,Closet,Cozinha,Jardim",,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. da Sequoia,"360,00 m²",,"R$490.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Rede elétrica,Sala de jantar,Sala de TV,1 Apto com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,5 Vaga(s) de garagem,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Despensa,Jardim,Lavanderia,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. do Vale, 122","360,00 m²","215,00 m²","R$370.000,00","Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. Francisco Lopes Silva, 340",,,"R$250.000,00","Sala de estar,2 Quarto(s),1 Varanda,2 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Flamboyant,"R. Francisco Lopes Silva, 340",,,"R$250.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rampa de acessibilidade,Rede elétrica,Sala de TV,2 Quarto(s),1 Varanda,1 Wc social,Área de serviço,Cozinha,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Flamboyant,R. Jacarepaguá,"360,00 m²","92,68 m²","R$390.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,3 Quarto(s),1 Wc social,4 Vaga(s) de garagem","R$ 1.250,00",
Casa-Térrea,Campo Grande - MS,Flamboyant,,"360,00 m²","130,00 m²","R$480.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Sala de estar,3 Quarto(s),1 Wc social,Cozinha",,
Casa-Térrea,Campo Grande - MS,Flamboyant,,"369,40 m²","220,30 m²","R$550.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,2 Sala(s) de estar,1 Suíte com a/e,2 Quarto(s) com a/e,3 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Área de lazer,Área de serviço,Cozinha,Edícula,Jardim,Lavanderia","R$ 274,19",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,Av. Nelly Martins,"387,00 m²","190,00 m²","R$790.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,2 Suíte(s) com a/e,1 Quarto,1 Wc social,4 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Alexandre,"360,00 m²","162,29 m²","R$750.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Apto com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Depósito,Despensa,Edícula,Interfone,Jardim,Lavabo,Lavanderia,Piscina,Portão elétrico,Porteiro eletrônico,Quarto empregada,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Alexandre,"360,00 m²","181,00 m²","R$780.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Apto com a/e,2 Quarto(s) com a/e,2 Varanda(s),1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Depósito,Despensa,Edícula,Interfone,Jardim,Lavanderia,Piscina aquecida,Portão elétrico,Porteiro eletrônico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Alexandre,"360,00 m²","181,00 m²","R$800.000,00","Aceita financiamento,Aceita permuta,1 Suíte com a/e,2 Quarto(s) com a/e,1 Quarto,1 Varanda,2 Wc social,4 Vaga(s) de garagem,Área de lazer,Área de serviço,Churrasqueira,Cozinha,Cozinha planejada,Despensa,Interfone,Lavabo,Lavanderia,Piscina",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Alexandre,"360,00 m²","181,00 m²","R$790.000,00","Asfalto,Calçada,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,2 Quarto(s) com a/e,2 Wc social,5 Vaga(s) de garagem,Churrasqueira,Cozinha planejada,Jardim,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Alexandre J. L. Casali,"360,00 m²","218,19 m²","R$799.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,3 Quarto(s),3 Wc social,4 Vaga(s) de garagem,Área de serviço,Churrasqueira,Copa,Cozinha,Despensa,Edícula,Escritório,Interfone,Lavanderia,Portão elétrico,Quarto empregada,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Alexandre, 111","369,00 m²",,"R$690.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,3 Quarto(s),1 Varanda,1 Wc social,5 Vaga(s) de garagem,Alarme,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Interfone,Lavabo,Lavanderia,Portão elétrico,WC de serviço","R$ 4.065,66",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Alexandre, 31","360,00 m²","192,00 m²","R$690.000,00",,"R$ 3.200,00",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Alexandre, 468","360,00 m²","181,00 m²","R$780.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Alarme,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Copa,Cozinha,Cozinha planejada,Depósito,Despensa,Edícula,Interfone,Jardim,Lavanderia,Piscina,Piscina aquecida,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Ana Lúcia,"450,00 m²","156,30 m²","R$600.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,1 Quarto,1 Varanda,1 Wc social,Churrasqueira,Edícula,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Ana Lucia, 349","450,00 m²","136,30 m²","R$750.000,00","Aceita financiamento,Sala de jantar,Sala de TV,1 Suíte com a/e,3 Quarto(s),2 Wc social,5 Vaga(s) de garagem,Copa,Cozinha,Depósito,Edícula,Lavabo,Quarto empregada,Redário,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Arcênia,"360,00 m²","225,00 m²","R$700.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,2 Apto(s) com a/e,2 Quarto(s) com a/e,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Churrasqueira,Copa,Cozinha planejada,Despensa,Interfone,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Arcenia,"450,00 m²","235,00 m²","R$880.000,00","Aceita financiamento,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,Sacada,2 Varanda(s),3 Vaga(s) de garagem,Churrasqueira,Cozinha,Despensa,Escritório,Jardim,Lavabo,Lavanderia,Piscina",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Arcênia, 391",,,"R$570.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),3 Wc social,Área de serviço,Cerca elétrica,Cozinha,Edícula,Interfone",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Arcenia, 89","450,00 m²","235,47 m²","R$880.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,Sacada,1 Varanda,4 Vaga(s) de garagem,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Despensa,Escritório,Interfone,Jardim,Lavabo,Mezanino,Piscina,Portão elétrico,Quarto empregada,WC de serviço","R$ 6.367,99",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Arsênia, 575","360,00 m²","179,55 m²","R$700.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,2 Suíte(s),2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Cozinha planejada,Edícula,Interfone,Jardim,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Autonomista, 1180","432,00 m²","108,05 m²","R$690.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,1 Vaga de garagem,Área de lazer,Área de serviço,Copa,Cozinha,Despensa,Jardim,Lavanderia,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Claudia,"360,00 m²","211,00 m²","R$1.480.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,1 Suíte com a/e,2 Quarto(s) com a/e,2 Vaga(s) de garagem","R$ 3.000,00",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Cláudia,"360,00 m²","211,00 m²","R$1.480.000,00","Água,Esgoto,Sala de estar,Sala de jantar,1 Suíte,3 Quarto(s),2 Varanda(s),3 Wc social,4 Vaga(s) de garagem,Área de lazer,Área de serviço,Closet,Copa,Depósito,Edícula,Hall de entrada,Interfone,Lavanderia,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Cláudia,"211,00 m²",,"R$1.350.000,00","Água,Asfalto,Esgoto,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,3 Quarto(s),4 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Lavabo,Lavanderia,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Claúdia,"360,00 m²","211,00 m²","R$1.350.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Alarme,Câmeras de segurança,Cerca elétrica,Churrasqueira,Cozinha,Depósito,Despensa,Edícula,Piscina,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Claudia,,"210,00 m²","R$1.350.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Interfone,Lavabo,Lavanderia,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Claúdia, 497","360,00 m²","195,63 m²","R$860.000,00","Aceita financiamento,Asfalto,Sala de estar,Sala de TV,1 Suíte,2 Apto(s),Sacada,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Copa,Cozinha,Cozinha planejada,Depósito,Hall de entrada,Interfone,Lavabo,Lavanderia,Piscina",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Clóvis,"720,00 m²","210,00 m²","R$1.050.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Árvores frutíferas,Churrasqueira,Cozinha,Cozinha planejada,Jardim,Lavabo,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Clóvis,"720,00 m²","203,61 m²","R$1.050.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,7 Vaga(s) de garagem,Alarme,Área de lazer,Área de serviço,Canil,Cerca elétrica,Churrasqueira,Copa,Cozinha planejada,Depósito,Despensa,Edícula,Interfone,Jardim,Lavabo,Lavanderia,Portão elétrico,Porteiro eletrônico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Clóvis, 447","720,00 m²","203,61 m²","R$1.050.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,2 Wc social,7 Vaga(s) de garagem,Alarme,Área de serviço,Árvores frutíferas,Canil,Cerca elétrica,Churrasqueira,Cozinha planejada,Despensa,Interfone,Jardim,Lavabo,Lavanderia,Portão elétrico,WC de serviço","R$ 3.000,00 anual",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Clóvis, 531","360,00 m²","170,00 m²","R$980.000,00","Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Copa,Cozinha,Depósito,Interfone,Piscina,Portão elétrico,Quiosque,WC de serviço","R$ 2.800,00",
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Clóvis, 531","360,00 m²","185,00 m²","R$850.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,"R. Clovis, 531","360,00 m²",,"R$1.100.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rampa de acessibilidade,Rede elétrica,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Alarme,Antena parabólica,Área de lazer,Área de serviço,Câmeras de segurança,Cerca elétrica,Churrasqueira,Cozinha,Interfone,Jardim,Lavanderia,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Giocondo,"720,00 m²","406,00 m²","R$1.595.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,2 Apto(s) com a/e,2 Quarto(s),2 Varanda(s),1 Wc social,4 Vaga(s) de garagem,Área de lazer,Área de serviço,Canil,Cerca elétrica,Churrasqueira,Copa,Cozinha planejada,Depósito,Despensa,Edícula,Escritório,Hall de entrada,Home theater,Interfone,Jardim,Lavabo,Piscina,Portão elétrico,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Giocondo Orsi,R. Giocondo,"525,00 m²","300,00 m²","R$890.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,2 Suíte(s) com a/e,2 Quarto(s) com a/e,1 Wc social,Área de lazer,Área de serviço,Árvores frutíferas,Câmeras de segurança,Cerca elétrica,Churrasqueira,Closet,Copa,Cozinha,Cozinha planejada,Edícula,Interfone,Jardim,Lavanderia,Piscina,Quarto empregada,WC de serviço",,
