tipo,cidade/uf,bairro,endereço,área_total,área_construída,iptu,valor,descricao,condomínio
Casa-Térrea,Campo Grande - MS,Jardim Imá,,"180,00 m²","100,00 m²",,"R$370.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,1 Quarto,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Imá,,"302,00 m²","149,79 m²",,"R$850.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,2 Suíte(s),1 Quarto,1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Churrasqueira,Closet,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia,Piscina",
Casa-Térrea,Campo Grande - MS,Jardim Imá,,"480,00 m²","201,00 m²",,"R$600.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,3 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Cozinha americana,Despensa,Jardim,Lavabo,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Imá,,"125,00 m²","62,00 m²",,"R$225.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,2 Quarto(s),1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Itatiaia,R. Jorge Luiz Anchieta,"360,00 m²","267,00 m²",,"R$1.350.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,2 Suíte(s) com a/e,1 Apto com a/e,1 Varanda,1 Wc social,3 Vaga(s) de garagem,Alarme,Aquecedor solar,Área de lazer,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha planejada,Depósito,Energia solar fotovoltaica,Escritório,Hidromassagem,Interfone,Jardim,Lavabo,Lavanderia,Mezanino,Pé direito duplo,Piscina,Piscina aquecida,Portão elétrico,Porteiro eletrônico,Redário,Sauna",
Casa-Térrea,Campo Grande - MS,Jardim Montevidéu,R. Monte Serrat,"198,00 m²","100,00 m²",,"R$450.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cozinha",
Casa-Térrea,Campo Grande - MS,Jardim Montevidéu,,"396,00 m²","195,00 m²",,"R$750.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,4 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha americana,Cozinha planejada,Despensa,Interfone,Jardim,Lavabo,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,"Tv. Olivais, 17","300,00 m²","161,00 m²",,"R$775.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Alarme,Cerca elétrica,Churrasqueira,Closet,Cozinha planejada,Escritório,Interfone,Jardim,Lavanderia,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"180,00 m²","108,00 m²",,"R$420.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"125,00 m²","60,00 m²",,"R$198.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,1 Suíte,1 Quarto,1 Wc social,1 Vaga de garagem,Área de serviço,Cozinha,Cozinha americana,Jardim,Lavanderia",
